wikidata,label
Q5372649,"Emitaï (Ousmane Sembène, 1971)"
Q16652571,"First Charge of the Machete (Manuel Octavio Gómez, 1969)"
Q3233271,"Os Herdeiros (Carlos Diegues, 1970)"
Q19516217,"The Secret Formula (Rubén Gámez, 1965)"
Q122661835,"79 Springtimes (Santiago Álvarez, 1969)"
Q3950846,"The Hour of the Furnaces (Fernando Solanas/Octavio Getino, 1968)"
Q122929129,Time Of Violence (1970)
Q3232105,"Of Gods and the Undead (Ruy Guerra, 1970)"
Q1576347,"Macunaíma (Joaquim Pedro de Andrade, 1969)"
Q2014254,"Mandabi (Ousmane Sembène, 1968)"
Q10353198,"Prata Palomares (André Faria, 1971)"
Q8076381,"¡Qué hacer! (Nina Serrano/Raúl Ruiz/Saul Landau, 1970)"
Q7306615,"Reed: Insurgent Mexico (Paul Leduc, 1973)"
Q69356005,"Holiday on Sylt (Andrew Thorndike/Annelie Thorndike, 1957)"
Q122661793,"O.K. (Walter Heynowski, 1964)"
Q106233916,Pilots in Pajamas (Walter Heynowski)
Q122830617,"Feine Spielwaren - Made in USA (Günter Rätz, 1969)"
Q1199308,"Der lachende Mann – Bekenntnisse eines Mörders (Gerhard Scheumann/Walter Heynowski, 1966)"
Q156497,"Triumph of the Will (Leni Riefenstahl, 1935)"
Q122661818,Q122661818
Q165642,"The Eternal Jew (Fritz Hippler, 1940)"
Q122661829,"Beauty Knows No Pain (Elliott Erwitt, 1971)"
Q122929130,Acupunctural Anaesthesia (1971)
Q283172,"Boy (Nagisa Ōshima, 1969)"
Q122830616,Q122830616
Q122661845,"The Casting (Joe Pasternak, 1971)"
Q1094852,"Claire's Knee (Éric Rohmer, 1970)"
Q122661846,"Cuckoo Waltz (Emiel van Moerkerken, 1955)"
Q122830608,"Dinner (Jean-Paul Vroom, 1969)"
Q7730768,"The Dove (George Coe, 1968)"
Q2362995,"Dreams That Money Can Buy (Hans Richter, 1947)"
Q2241601,"Faces (John Cassavetes, 1968)"
Q3049378,"Eika Katappa (Werner Schroeter, 1969)"
Q122830607,"The Everyday Life of Gestapoman Schmidt (Jerzy Ziarnik, 1964)"
Q1168501,"Le Bonheur (Agnès Varda, 1965)"
Q30521223,"Q30521223 (Roland Gall, 1970)"
Q17630794,"I Love You, I Kill You (Uwe Brandner, 1971)"
Q122830618,"The Art of Swordsmith (Tatsuo Asano, 1958)"
Q2870474,"Land of Silence and Darkness (Werner Herzog, 1971)"
Q5945562,"Postman (Dariush Mehrjui, 1972)"
Q6585182,"The Highway Queen (Menahem Golan, 1971)"
Q122929131,Moonwalk No. 1 (1971)
Q25513,"Paris Belongs to Us (Jacques Rivette, 1961)"
Q6507640,"Le Révélateur (Philippe Garrel, 1968)"
Q144521,"Titicut Follies (Frederick Wiseman, 1967)"
Q28788752,"Tales of the Dumpster Kid (Edgar Reitz/Ula Stöckl, 1971)"
Q2928298,"The Scandalous Adventures of Buraikan (Masahiro Shinoda, 1970)"
Q2586674,"Salesman (Albert Maysles/David Maysles, 1969)"
Q122661772,"The Bed (James Broughton, 1967)"
Q122661810,"Documentary Footage (Morgan Fisher, 1968)"
Q104863118,"Fly (John Lennon, 1970)"
Q29577744,"No. 4 (Bottoms) (Anthony Cox/Yoko Ono, 1966)"
Q122811226,"Black Pudding (Nancy Edell, 1971)"
Q20874589,The Continuing Story of Carel and Ferd (1975)
Q16950461,"Coming Apart (Milton Moses Ginsberg, 1969)"
Q41132,"Barbarella (Roger Vadim, 1968)"
Q653375,"Dear John (Lars-Magnus Lindgren, 1964)"
Q122929132,Everready (1925)
Q122929133,Electrosex (1970)
Q111723679,"Fuses (Carolee Schneemann, 1967)"
Q664020,"The Go-Between (Joseph Losey, 1971)"
Q4657342,"A History of the Blue Movie (Alex de Renzy, 1970)"
Q2054210,"I Am Curious (Yellow) (Vilgot Sjöman, 1967)"
Q570567,"Last Tango in Paris (Bernardo Bertolucci, 1972)"
Q122929134,"Kodak Ghost Poems (Andre Noren, 1970)"
Q122811227,"Orange (Karen Johnson, 1969)"
Q122661847,Psychomontage (Eberhard Kronhausen)
Q7432260,"School Girl (Paul Gerber, 1971)"
Q122830603,"The Secrete of Life (Victor Faccinto, 1971)"
Q122661807,"Sex (David Avidan, 1971)"
Q122830610,"L'ombre de la pomme (Robert Lapoujade, 1965)"
Q122811232,"Tales (Cassandra M. Gerstein, 1970)"
Q12310044,"A Stranger Knocks (Johan Jacobsen, 1959)"
Q122661773,"Take Me (Stephen Dwoskin, 1969)"
Q122929135,What Goes On At Sex Therapy Clinics (1972)
Q2294282,"The Horrible Dr. Hichcock (Riccardo Freda, 1962)"
Q470375,"Belle de Jour (Luis Buñuel, 1967)"
Q61978411,"The Bloodthirsty Fairy (Roland Lethem, 1969)"
Q885485,"Blow Job (Andy Warhol, 1964)"
Q1304788,"A Song of Love (Jean Genet, 1950)"
Q3278514,"Don't Deliver Us from Evil (Joël Séria, 1971)"
Q122661828,"Cybele (Donald Richie, 1968)"
Q181086,"A Clockwork Orange (Stanley Kubrick, 1971)"
Q1197125,"The Departure (Jerzy Skolimowski, 1967)"
Q1137042,"Diary of a Shinjuku Thief (Nagisa Ōshima, 1968)"
Q670589,"Fireworks (Kenneth Anger, 1947)"
Q947538,"Flaming Creatures (Jack Smith, 1963)"
Q122661816,"Flesh Of Morning (Stan Brakhage, 1956)"
Q742308,"Death in Venice (Luchino Visconti, 1971)"
Q122661814,"Fragment Of Seeking (Curtis Harrington, 1946)"
Q221587,"Frenzy (Alfred Hitchcock, 1972)"
Q1149669,"Heat (Paul Morrissey, 1972)"
Q457675,"It Is Not the Homosexual Who Is Perverse, But the Society in Which He Lives (Rosa von Praunheim, 1970)"
Q122661778,"Lovemaking (Stan Brakhage, 1969)"
Q6897745,"Mona the Virgin Nymph (Howard Ziehm/Michael Benveniste, 1970)"
Q122811213,"The Man from Onan (Alan Ruskin, 1971)"
Q686059,"Murmur of the Heart (Louis Malle, 1971)"
Q830018,"Besonders wertvoll (Hellmuth Costard, 1968)"
Q15052466,"Portrait of Jason (Shirley Clarke, 1967)"
Q122661782,"Sodoma (Otto Muehl, 1970)"
Q15805836,"Q15805836 (Hellmuth Costard, 1970)"
Q3230564,"Violated Angels (Kōji Wakamatsu, 1967)"
Q963014,"Trash (Paul Morrissey, 1970)"
Q20728906,"Why? (Eberhard Kronhausen/Phyllis Kronhausen, 1971)"
Q2326990,"All My Babies (George C. Stoney, 1953)"
Q122811212,"The Beginning of Life (Lars Wallen, 1968)"
Q122661798,"Kirsa Nicholina (Gunvor Nelson, 1970)"
Q25999725,"The Private Life of a Cat (Alexandr Hackenschmied/Maya Deren, 1944)"
Q8024356,"Window Water Baby Moving (Stan Brakhage, 1959)"
Q7712293,"The Act of Seeing with One's Own Eyes (Stan Brakhage, 1971)"
Q7714831,The Atom Strikes! (1945)
Q122661849,"Birth And Death (Arthur Barron, 1968)"
Q3226906,"Blood of the Beasts (Georges Franju, 1949)"
Q739046,"Diabolique (Henri-Georges Clouzot, 1954)"
Q122811215,"The End of One (Paul Kocela, 1971)"
Q122830613,Corrida interdite (Denys Colomb de Daunant)
Q976558,"Forbidden Games (René Clément, 1952)"
Q122929137,Germ And Chemical Warfare (1968)
Q1671458,"Interviews with My Lai Veterans (Joseph Strick, 1970)"
Q122929138,"It Is Good To Live (Fumio Kamei, 1958)"
Q122929139,"Meditation On The End Of Human Life (Jovan Kubicek, 1967)"
Q2650998,"A Movie (Bruce Conner, 1958)"
Q122661790,"Necrology (Standish Lawder, 1969)"
Q8026319,"Winter Soldier (Barbara Kopple/Winterfilm Collective, 1972)"
Q122929140,"The Race (William Copland, 1970)"
Q122929141,"Reflection (Evald Schorm, 1965)"
Q8874808,"Patriotism (Masaki Dōmoto/Yukio Mishima, 1965)"
Q122661785,"Sirius Remembered (Stan Brakhage, 1959)"
Q122661834,To Live (Carlos Vilardebó)
Q122830605,"Dawn of the Damned (Ahmed Rachedi, 1965)"
Q122929142,"Vietnam, Land Of Fire (1966)"
Q18401,"Love in the City (Alberto Lattuada/Carlo Lizzani/Cesare Zavattini/Dino Risi/Federico Fellini/Francesco Maselli/Michelangelo Antonioni, 1953)"
Q1248388,"The War Game (Peter Watkins, 1966)"
Q9158966,"Archaeology (Andrzej Brzozowski, 1967)"
Q11775225,"The Given town (Vladimír Kressl, 1965)"
Q122929143,Camps Of The Dead (1947)
Q44916819,"Butterflies Do Not Live Here (Miro Bernat, 1958)"
Q122830606,"Khatyn, 5km (Igor Kolovsky, 1968)"
Q3830878,"The Games of Angels (Walerian Borowczyk, 1964)"
Q5282888,"Distant Journey (Alfréd Radok, 1949)"
Q122830609,"Bylem kapo (Tadeusz Jaworski, 1964)"
Q6815312,"Memorandum (Donald Brittain/John Spotton, 1965)"
Q706373,"Night and Fog (Alain Resnais, 1956)"
Q122661804,"Sighet, Sighet (Harold Becker, 1967)"
Q122929144,Warsaw Ghetto (1969)
Q946849,"L’Age d’Or (Luis Buñuel, 1930)"
Q3202256,"Archangel Gabriel and Ms Goose (Jiří Trnka, 1964)"
Q122811236,"Constitution and Censorship (Stefan Sharff, 1953)"
Q122661805,"Every Seventh Child (Jack Willis, 1967)"
Q14942129,Q14942129 (1959)
Q1763495,"Marjoe (Howard Smith/Sarah Kernochan, 1972)"
Q2250653,"L'Amore (Roberto Rossellini, 1948)"
