,section,title,director,country,year,wikidata
94,The Destruction Of Time And Space,Go Slow On The Brighton,Donald Smith, Great Britain, 1952,
95,The Destruction Of Time And Space,God Is Dog Spelled Backwards,Don McLaughlin, USA, 1967,
96,The Destruction Of Time And Space,Hiroshima Mon Amour,Alain Resnais, France/Japan, 1959,Q283036
97,The Destruction Of Time And Space,The House (Het Huis),Louis A. van Gasteren, Netherlands, 1961,
98,The Destruction Of Time And Space,In Marin County,Peter Hutton, USA, 1971,
99,The Destruction Of Time And Space,(Le Sang D'Un Poete),Jean Cocteau, France, 1930,Q3226891
100,The Destruction Of Time And Space,Prune Flat,Robert Whitman, USA, 1965,
101,The Destruction Of Time And Space,Power Of Plants,Paul F. Moss and Thelma Schnee, USA, 1949,
102,The Destruction Of Time And Space,Renaissance,Walerian Borowczyk, France, 1963,Q38842002
103,The Destruction Of Time And Space,Smoking,Joe Jones, USA, 1970,
104,The Destruction Of Time And Space,The Incredible Shrinking Man,Jack Arnold, USA, 1957,Q972001
105,The Destruction Of Plot And Narrative,Eat,Andy Warhol, USA, 1963,Q386066
106,The Destruction Of Plot And Narrative,Akran,Richard Myers, USA, 1970,
107,The Destruction Of Plot And Narrative,Anticipation Of The Night,Stan Brakhage, USA, 1957,Q2853164
108,The Destruction Of Plot And Narrative,L'Avventura,Michelangelo Antonioni, Italy, 1960,Q514531
109,The Destruction Of Plot And Narrative,Empire,Andy Warhol, USA, 1964,Q177519
110,The Destruction Of Plot And Narrative,"(Detruire, Dit-Elle)",Marguerite Duras, France, 1969,Q3045436
111,The Destruction Of Plot And Narrative,(La Later Un Femme Mariee),Jean-Luc Godard, France, 1964,
112,The Destruction Of Plot And Narrative,Don Giovanni,Carmelo Bene, Italy, 1970,Q3713525
113,The Destruction Of Plot And Narrative,"Tom, Tom, The Piper'S Son",Ken Jacobs, USA, 1969,Q4445366
114,The Destruction Of Plot And Narrative,Vampyr,Pedro Portabella, Spain, 1970,
115,The Destruction Of Plot And Narrative,La Verifica Incerta,Gian Franco Berucello, Alberto Griffi, Italy,
116,The Destruction Of Plot And Narrative,Katzelmacher,Rainer Werner Fassbinder, West Germany, 1969,Q567519
117,The Assault On Montage,Wavelength,Michael Snow, USA, 1967,Q2423867
118,The Assault On Montage,(Prima Della Rivoluzione),Bernardo Bertolucci, Italy, 1964,Q239630
119,The Assault On Montage,(A Bout De Souffle),Jean-Luc Godard, France, 1959,Q86427
120,The Assault On Montage,(Chronik Der Anna Magdalena Bach),Jean-Marie Straub, Germany, 1967,Q1114312
121,The Assault On Montage,Touch Of Evil,Orson Welles, USA, 1957,Q778161
122,The Assault On Montage,Twice A Man,Gregory J. Markopoulos, USA, 1963,Q101111336
123,The Assault On Montage,"(Csillagosok, Katonak)",Miklos Jancso, Hungary, 1968,Q873313
124,The Triumph And Death Of The Moving Camera,The Arrival Of A Train In The Station,Louis Lumiere, France, 1895,
125,The Triumph And Death Of The Moving Camera,La Region Centrale,Michael Snow, USA/Canada, 1972,Q3212578
126,The Triumph And Death Of The Moving Camera,(Der Letzte Mann),F.W. Murnau, Germany, 1924,Q258830
127,The Triumph And Death Of The Moving Camera,Running Shadow,Robert Fulton, USA, 1971,
128,The Triumph And Death Of The Moving Camera,(Meg Ker A Nep),Miklos Jancso, Hungary, 1972,Q371945
129,The Triumph And Death Of The Moving Camera,(Variete),Ewald Andre Dupont, Germany, 1925,Q554984
130,The Triumph And Death Of The Moving Camera,Railroad,Lutz Mommartz, Germany, 1967,
131,The Triumph And Death Of The Moving Camera,Color Film,Standish Lawder, USA, 1971,
132,The Triumph And Death Of The Moving Camera,(Un Film),Sylvina Boissonnas, France, 1969,
133,The Triumph And Death Of The Moving Camera,Naissant,Stephen Dwoskin, Great Britain, 1967,
134,The Triumph And Death Of The Moving Camera,Particle Removal Series,David McCullough, USA, 1972,
135,The Triumph And Death Of The Moving Camera,(Im Schonsten Wiesengrunde),Peter Von Guten, Switzerland, 1968,
136,The Triumph And Death Of The Moving Camera,Runaway,Standish Lawder, USA, 1970,
137,The Triumph And Death Of The Moving Camera,Sleep,Andy Warhol, USA, 1963-64,Q1465774
138,The Triumph And Death Of The Moving Camera,Apotheosis,John Lennon, Great Britain, 1970,Q58814795
139,Straining Towards The Limits,For Example,S. Arakawa, USA, 1971,
140,Straining Towards The Limits,Virginity,Roberto Rosselini, episode in Rogopag, Italy,
141,Straining Towards The Limits,Dead Movie,Taka Iimura, USA, 1968,
142,Straining Towards The Limits,Mothlight,Stan Brakhage, USA, 1961,Q3325160
143,Straining Towards The Limits,Olympiad,Lillian Schwartz, USA, 1971,
144,Straining Towards The Limits,Arnulf Rainer,Peter Kubelka, Austria, 1957,Q21999896
145,Straining Towards The Limits,Ballet Mechanique,Fernand Leger, France, 1924,
146,Straining Towards The Limits,Bells Of Atlantis,Ian Hugo, USA, 1953,
147,Straining Towards The Limits,Loops,Norman McLaren, Canada, 1948,
148,Straining Towards The Limits,Beyond The Law,Norman Mailer, USA, 1968,Q58814597
149,Straining Towards The Limits,Black Tv,Aldo Tambellini, USA, 1969,
150,Straining Towards The Limits,Damon The Mower,George Dunning, Great Britain, 1971,
151,Straining Towards The Limits,Flicker,Tony Conrad, USA, 1966,Q2411410
152,Straining Towards The Limits,H 2 0,Ralph Steiner, USA, 1929,
153,Straining Towards The Limits,Pas De Deux,Norman McLaren, Canada, 1968,Q3367156
154,Straining Towards The Limits,(Nevinost Bez Zastite),Dusan Makavejev, Yugoslavia, 1968,Q2487851
155,Straining Towards The Limits,Institutional Quality,George Landow, USA, 1969,
156,Straining Towards The Limits,(Tokyo Senso Sengo Hiwa),Nagisa Oshima, Japan, 1970,Q515626
157,Straining Towards The Limits,"N.Y., N.Y.",Francis Thompson, USA, 1958,Q6951584
158,Straining Towards The Limits,Permutations,John Whitney, USA, 1968,
159,Straining Towards The Limits,Persona,Ingmar Bergman, Sweden, 1965-66,Q695255
160,Straining Towards The Limits,Fantastic Vision,Eugene Deslaw, Spain/Switzerland, year unknown,
161,Straining Towards The Limits,The Secret Cinema,Paul Bartel, USA, 1966,Q7762993
162,Straining Towards The Limits,Ufo'S,Lillian Schwartz and Ken Knowlton, USA, 1972,
163,Straining Towards The Limits,Tup-Tup,Nedejlko Dragic, Yugoslavia, 1972,Q1726441
164,International Left And Revolutionary Cinema,A Propos De Nice,Jean Vigo, France, 1930,Q261817
165,"The West: Rebels, Maoists, And The New Godard - Part One",It Happened Here,Kevin Brownlow and Andrew Mollo, Great Britain, 1964,Q129548
166,"The West: Rebels, Maoists, And The New Godard - Part One",The Battle Of Algiers,Gille Pontecorvo, Italy, 1966,Q784812
167,"The West: Rebels, Maoists, And The New Godard - Part One",(Das Unheil),Peter Fleischmann, West Germany, 1972,Q1170630
168,"The West: Rebels, Maoists, And The New Godard - Part One",Black Panthers,Agnes Varda, USA, 1969,Q2905436
169,"The West: Rebels, Maoists, And The New Godard - Part One",The Brig,Jonas Mekas, USA, 1964,Q26188926
170,"The West: Rebels, Maoists, And The New Godard - Part One",The Cry Of Jazz,Edward Bland, USA, 1959,Q2873708
171,"The West: Rebels, Maoists, And The New Godard - Part One",Deadline For Action,Union Films, USA, 1948?,
172,"The West: Rebels, Maoists, And The New Godard - Part One",The Bicycle Thief,Vittorio de Sica, Italy, 1949,Q172837
173,"The West: Rebels, Maoists, And The New Godard - Part One",Delaware,Newsreel film collective, USA, 1968/69,
174,"The West: Rebels, Maoists, And The New Godard - Part One",Eight Flags For 99 Cents,Charles Olin, USA, 1970,
175,"The West: Rebels, Maoists, And The New Godard - Part One",An Evil Hour,Peter Wolff, USA, 1970,
176,"The West: Rebels, Maoists, And The New Godard - Part One",Far From Vietnam,various directors, France, 1965,Q3258662
177,"The West: Rebels, Maoists, And The New Godard - Part One",The Great Society,Fred Mogubgub, USA, 1967?,
178,"The West: Rebels, Maoists, And The New Godard - Part One",(Stadtfuhrer Fur Bonn Und Umgebung),Manfred Vosz, West Germany, 1969,
179,"The West: Rebels, Maoists, And The New Godard - Part One",Hands Over The City,Francesco Rosi, Italy, 1963,Q2253732
180,"The West: Rebels, Maoists, And The New Godard - Part One",Hail,Fred Levinson, USA, 1971,Q30598450
181,"The West: Rebels, Maoists, And The New Godard - Part One",(Der Hamburger Aufstand October 1923),Reiner Etz, Gisela Tuchtenhagen,,
182,"The West: Rebels, Maoists, And The New Godard - Part One",Hog Calling Blues,Neal Pace, USA, 1969,
183,"The West: Rebels, Maoists, And The New Godard - Part One",Ice,Robert Kramer, USA, 1970,Q1656084
184,"The West: Rebels, Maoists, And The New Godard - Part One",The Idea,Berthold Bartosch, France, 1931,Q17092250
185,"The West: Rebels, Maoists, And The New Godard - Part One",I'M A Man,Peter Rosen, USA, 1969,
186,"The West: Rebels, Maoists, And The New Godard - Part One",I'M Going To Give You All My Love,Jerrold Peil, USA, 1971,
187,"The West: Rebels, Maoists, And The New Godard - Part One",Les Marines,Francois Reichenbach, Franc, 1957,Q16655114
188,"The West: Rebels, Maoists, And The New Godard - Part One",(Las Hurdes),Luis Bunuel, Spain, 1932,Q2606896
189,"The West: Rebels, Maoists, And The New Godard - Part One",Mickey Mouse In Vietnam,Lee Savage, USA, 1968,Q6838747
190,"The West: Rebels, Maoists, And The New Godard - Part One",The Murder Of Fred Hampton,Mike Gray, USA, 1971,
191,"The West: Rebels, Maoists, And The New Godard - Part Two",Mr. Freedom,William Klein, France, 1970,Q3316949
192,"The West: Rebels, Maoists, And The New Godard - Part Two",La Chinoise,Jean-Luc Godard, France, 1967,Q2478879
193,"The West: Rebels, Maoists, And The New Godard - Part Two",O Dreamland,Lindsay Anderson, Great Britain, 1953,Q518882
194,"The West: Rebels, Maoists, And The New Godard - Part Two",Palestine,Nick McDonald, USA, 1971,
195,"The West: Rebels, Maoists, And The New Godard - Part Two",(Le Peuple Et Ses Fusils),Joris Ivens and film collective, France, 1967,Q59692842
196,"The West: Rebels, Maoists, And The New Godard - Part Two",Pravda,Jean-Luc Godard and Dziga Vertov group, France, 1969,Q3281163
197,"The West: Rebels, Maoists, And The New Godard - Part Two",Punishment Park,Peter Watkins, Great Britain, 1971,Q1348016
198,"The West: Rebels, Maoists, And The New Godard - Part Two",Red Squad,Howard Blatt and Steve Fishler, USA, 1972,
199,"The West: Rebels, Maoists, And The New Godard - Part Two",The Revolutionary Was A Cop,Marc Weiss, USA, 1971,
200,"The West: Rebels, Maoists, And The New Godard - Part Two",(Pioniere In Ingolstadt),Rainer Werner Fassbinder, West Germany, 1971,Q3905449
201,"The West: Rebels, Maoists, And The New Godard - Part Two","Robert Wall, Ex-Fbi Agent",Michael Anderson, Paul Jacobs,,
202,"The West: Rebels, Maoists, And The New Godard - Part Two",The Sorrow And The Pity,Marcel Ophuls, Switzerland, 1971,Q638892
203,"The West: Rebels, Maoists, And The New Godard - Part Two",(San Michele Aveve Un Gallo),Paolo and Vittorio Taviani, Italy, 1971,
204,"The West: Rebels, Maoists, And The New Godard - Part Two",Open City,Roberto Rossellini, Italy, 1945,Q721146
205,"The West: Rebels, Maoists, And The New Godard - Part Two",The Spanish Earth,Joris Ivens, USA, 1937,Q3518630
206,"The West: Rebels, Maoists, And The New Godard - Part Two",(Espana 68),Unitelefilm Collective, Italy, 1968,
207,"The West: Rebels, Maoists, And The New Godard - Part Two",(Der Plotzliche Reichtum Der Armen Leute Von Kombach),Volker Schloendorff, West Germany, 1971,Q1199485
208,"The West: Rebels, Maoists, And The New Godard - Part Two",Sunday,Dan Drasin, USA, 1961,
209,"The West: Rebels, Maoists, And The New Godard - Part Two",Susan After The Sugar Harvest,Peter Robinson, USA, 1971,
210,"The West: Rebels, Maoists, And The New Godard - Part Two",Modern Times,Charles Chaplin, USA, 1936,Q45602
211,"The West: Rebels, Maoists, And The New Godard - Part Two",Three Lives,Kate Millet, USA, 1971,
212,"The West: Rebels, Maoists, And The New Godard - Part Two",Troublemakers,Robert Machover and Norman Fruchter, USA, 1966,
213,"The West: Rebels, Maoists, And The New Godard - Part Two",12-12-46,Bernard Stone, USA, 1966,
214,"The West: Rebels, Maoists, And The New Godard - Part Two",(Los Olvidados),Luis Bunuel, Mexico, 1951,Q572522
215,"The West: Rebels, Maoists, And The New Godard - Part Two","Valparaiso, Valparaiso",Pascal Aubier, France, 1971,Q16682279
216,"The West: Rebels, Maoists, And The New Godard - Part Two",Wholly Communion,Peter Whitehead, Great Britain, 1965,Q3545779
217,"The West: Rebels, Maoists, And The New Godard - Part Two",Wintersoldier,Winter Film Collective, USA, 1972,
218,"The West: Rebels, Maoists, And The New Godard - Part Two",The Woman'S Film,Judy Smith, Louise Alaimo, and Ellen Sorren,
219,"The West: Rebels, Maoists, And The New Godard - Part Two",Yippie,Yippie Film Collective, USA, 1968,
220,"The West: Rebels, Maoists, And The New Godard - Part Two",Zero De Conduite,Jean Vigo, France, 1933,Q613216
221,Subversion In Eastern Europe: Aesopian Metaphors - Part One,The Deserter And The Nomads,Juro Jakubisco, Czechoslavakia, 1968,Q12779318
222,Subversion In Eastern Europe: Aesopian Metaphors - Part One,The Critical Years,Juro Jakubisco, Czechoslavakia, 1967 ,
223,Subversion In Eastern Europe: Aesopian Metaphors - Part One,(Ljubavni Slucaj Ili Tragedija Sluzbenice P.T.T.),Dusan Makavejev, Yugoslavia, 1967,Q666364
224,Subversion In Eastern Europe: Aesopian Metaphors - Part One,(Magany),Vince Lakatos, Hungary, 1969 ,
225,Subversion In Eastern Europe: Aesopian Metaphors - Part One,(Wuearod Ludzi),Wladyslaw Slesicki, Poland, 1962 ,
226,Subversion In Eastern Europe: Aesopian Metaphors - Part One,(Andrej Rubljow),Andrei Tarkovsky, USSR, 1962-66,Q503046
227,Subversion In Eastern Europe: Aesopian Metaphors - Part One,(A Paty Jezdec Je Strach ... ),Zbynek Brynych, Czechoslavakia, 1964 ,Q7733763
228,Subversion In Eastern Europe: Aesopian Metaphors - Part One,(Byt),Jan Svankmajer, Czechoslavakia, 1968,
229,Subversion In Eastern Europe: Aesopian Metaphors - Part One,Bad Luck,Andrzej Munk, Poland, 1961,Q4235137
230,Subversion In Eastern Europe: Aesopian Metaphors - Part One,"(Ptackove, Sirotci A Blazni)",Juro Jakubisco, France, 1971,
231,Subversion In Eastern Europe: Aesopian Metaphors - Part One,(A Sekat Dobrotu),Peter Solan, Czechoslavakia, 1968,
232,Subversion In Eastern Europe: Aesopian Metaphors - Part One,(Fotel),Daniel Szczechura, Poland, 1963,Q65032285
233,Subversion In Eastern Europe: Aesopian Metaphors - Part One,(Sedmikrasky),Vera Chytilova, Czechoslavakia, 1966,Q910705
234,Subversion In Eastern Europe: Aesopian Metaphors - Part One,(Strahov),Vera Chytilova, Czechoslavakia, 1966,
235,Subversion In Eastern Europe: Aesopian Metaphors - Part One,(Don Kihote),Vlado Kristl, Yugoslavia, 1961,
236,Subversion In Eastern Europe: Aesopian Metaphors - Part One,(Rani Radovi),Zelimir Zilnik, Yugoslavia, 1969,Q2026238
237,Subversion In Eastern Europe: Aesopian Metaphors - Part One,Everything Is A Number,Stefan Schabenbeck, Poland, 1967,
238,Subversion In Eastern Europe: Aesopian Metaphors - Part One,(Hori Ma Panenko),Milos Forman, Czechoslavakia, 1967,Q1193389
239,Subversion In Eastern Europe: Aesopian Metaphors - Part One,(Muha),Aleksander Marks and Vladimir Jutrisa, Yugoslavia, 1967,
240,Subversion In Eastern Europe: Aesopian Metaphors - Part One,The Hand,Jiri Trnka, Czechoslavakia, 1966,Q3210283
